"review","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"canon 30d and 40d are way sexier might upgrade later after i build a nice lens collection",0,0,0,0,0,0,0,0,0,1
"i though about upgrating to a different camera xti 30d nikon d40x even nikon d200 but really have no need for it it would almost be a waste for my needs and in my case money is almost no matter how ever i could just not justify purchasing something else",1,1,1,1,1,1,1,1,2,1
"i didnt see the need to go up to the xti nikon d40x nikon d80 because at 8 mp you can pretty much blow the xt pictures up to poster size and not really see huge loss in detail",1,1,0,1,1,1,0,1,1,1
"other canon cameras i own include the canon eos 10s the eos rebel g2 the eos elan 7 the eos rebel digital 63 mp and now the eos rebel digital xt",1,0,0,1,0,0,0,0,1,1
"to 40d right before 50d was announced thanks alot canon af is so much better on the 40d",0,0,0,0,0,0,0,0,0,0
"br the canon came out on top in all catergories with the exception of a few at the time such as price because of the nikon d50 though the rebels other features clearly outway the nikon",0,2,0,0,0,0,0,1,0,1
"this camera is one of the smallest sized dslrsfeels good in hands compared to nikon d70s etc",0,1,0,0,1,0,1,1,0,1
"of this camera is lower than the counterpart of other brands ie nikon d70s therefore it is not so suprise about the problems i mentions above",0,0,0,0,0,1,0,0,1,0
"i am a professional photographer and i own a canon 20d as well",0,0,0,0,0,0,0,1,0,1
"of course some very real differences between the eos digital rebel xt digital camera and the more advanced eos 20d",1,0,0,1,0,0,0,1,1,2
"was very impressed with the 20d but the price difference could easily give me a very good lense and the feature differences are minor so rebel xt it is i am a photography enthuiast who wishes he had the budget for a canon 1d markii but instead have the budget of a mortal and have to pay for a personal camera out of his own pocket",1,2,0,1,2,0,1,4,2,3
"br i would have to say lack of spot metering does give the nikon d70 an advantage but this camera does have a center metering mode with exposure lock so it is not really a showstopper",0,0,0,0,0,0,0,1,1,2
"eventhough i love my old digital rebel with upgraded firmware i think i want to add this to my canon collection rather than 20d",1,0,0,1,1,0,0,0,1,1
"the camera body is the cheapest part of the camera youre likely to purchase and its really the easiest to make a decision on go to a store pick up a rebel pick up a d80 the nikon more or less equivalent and decide which feels right",1,1,0,1,0,0,0,0,1,2
"so if you see yourself taking a lot of photos in low light you might as well get the canon 30d body for 650 the price as of nowsept 2008",0,0,0,0,0,0,0,0,0,0
"if the price doesnt go down buy a nikon d60 cheaper or canon xsi same price as the xt and way more advanced",0,0,0,0,0,0,0,0,0,1
"or best yet buy a canon 30d and buy the lens separate",0,0,0,0,0,0,0,0,0,0
"canon 30d and 40d are way sexier might upgrade later after i build a nice lens collection",0,0,0,0,0,0,0,0,0,1
"i though about upgrating to a different camera xti 30d nikon d40x even nikon d200 but really have no need for it it would almost be a waste for my needs and in my case money is almost no matter how ever i could just not justify purchasing something else",1,1,1,1,1,1,1,1,2,1
"i didnt see the need to go up to the xti nikon d40x nikon d80 because at 8 mp you can pretty much blow the xt pictures up to poster size and not really see huge loss in detail",1,1,0,1,1,1,0,1,1,1
"other canon cameras i own include the canon eos 10s the eos rebel g2 the eos elan 7 the eos rebel digital 63 mp and now the eos rebel digital xt",1,0,0,1,0,0,0,0,1,1
"to 40d right before 50d was announced thanks alot canon af is so much better on the 40d",0,0,0,0,0,0,0,0,0,0
"br the canon came out on top in all catergories with the exception of a few at the time such as price because of the nikon d50 though the rebels other features clearly outway the nikon",0,2,0,0,0,0,0,1,0,1
"this camera is one of the smallest sized dslrsfeels good in hands compared to nikon d70s etc",0,1,0,0,1,0,1,1,0,1
"of this camera is lower than the counterpart of other brands ie nikon d70s therefore it is not so suprise about the problems i mentions above",0,0,0,0,0,1,0,0,1,0
"i am a professional photographer and i own a canon 20d as well",0,0,0,0,0,0,0,1,0,1
"of course some very real differences between the eos digital rebel xt digital camera and the more advanced eos 20d",1,0,0,1,0,0,0,1,1,2
"was very impressed with the 20d but the price difference could easily give me a very good lense and the feature differences are minor so rebel xt it is i am a photography enthuiast who wishes he had the budget for a canon 1d markii but instead have the budget of a mortal and have to pay for a personal camera out of his own pocket",1,2,0,1,2,0,1,4,2,3
"br i would have to say lack of spot metering does give the nikon d70 an advantage but this camera does have a center metering mode with exposure lock so it is not really a showstopper",0,0,0,0,0,0,0,1,1,2
"eventhough i love my old digital rebel with upgraded firmware i think i want to add this to my canon collection rather than 20d",1,0,0,1,1,0,0,0,1,1
"i highly recommend looking at olympus when it come time to buy a dslr and the e300 is def a fav of mine",0,1,0,0,0,0,0,1,0,1
