"text","sentiment"
"canon 30d and 40d are way sexier might upgrade later after i build a nice lens collection","Positive"
"i though about upgrating to a different camera xti 30d nikon d40x even nikon d200 but really have no need for it it would almost be a waste for my needs and in my case money is almost no matter how ever i could just not justify purchasing something else","Neutral"
"i didnt see the need to go up to the xti nikon d40x nikon d80 because at 8 mp you can pretty much blow the xt pictures up to poster size and not really see huge loss in detail","Neutral"
"other canon cameras i own include the canon eos 10s the eos rebel g2 the eos elan 7 the eos rebel digital 63 mp and now the eos rebel digital xt","Very Negative"
"to 40d right before 50d was announced thanks alot canon af is so much better on the 40d","Very Positive"
"br the canon came out on top in all catergories with the exception of a few at the time such as price because of the nikon d50 though the rebels other features clearly outway the nikon","Positive"
"this camera is one of the smallest sized dslrsfeels good in hands compared to nikon d70s etc","Neutral"
"of this camera is lower than the counterpart of other brands ie nikon d70s therefore it is not so suprise about the problems i mentions above","Neutral"
"i am a professional photographer and i own a canon 20d as well","Positive"
"of course some very real differences between the eos digital rebel xt digital camera and the more advanced eos 20d","Very Positive"
"was very impressed with the 20d but the price difference could easily give me a very good lense and the feature differences are minor so rebel xt it is i am a photography enthuiast who wishes he had the budget for a canon 1d markii but instead have the budget of a mortal and have to pay for a personal camera out of his own pocket","Very Positive"
"br i would have to say lack of spot metering does give the nikon d70 an advantage but this camera does have a center metering mode with exposure lock so it is not really a showstopper","Negative"
"eventhough i love my old digital rebel with upgraded firmware i think i want to add this to my canon collection rather than 20d","Positive"
"the camera body is the cheapest part of the camera youre likely to purchase and its really the easiest to make a decision on go to a store pick up a rebel pick up a d80 the nikon more or less equivalent and decide which feels right","Very Positive"
"so if you see yourself taking a lot of photos in low light you might as well get the canon 30d body for 650 the price as of nowsept 2008","Negative"
"if the price doesnt go down buy a nikon d60 cheaper or canon xsi same price as the xt and way more advanced","Positive"
"or best yet buy a canon 30d and buy the lens separate","Neutral"
"canon 30d and 40d are way sexier might upgrade later after i build a nice lens collection","Positive"
"i though about upgrating to a different camera xti 30d nikon d40x even nikon d200 but really have no need for it it would almost be a waste for my needs and in my case money is almost no matter how ever i could just not justify purchasing something else","Neutral"
"i didnt see the need to go up to the xti nikon d40x nikon d80 because at 8 mp you can pretty much blow the xt pictures up to poster size and not really see huge loss in detail","Neutral"
"other canon cameras i own include the canon eos 10s the eos rebel g2 the eos elan 7 the eos rebel digital 63 mp and now the eos rebel digital xt","Very Negative"
"to 40d right before 50d was announced thanks alot canon af is so much better on the 40d","Very Positive"
"br the canon came out on top in all catergories with the exception of a few at the time such as price because of the nikon d50 though the rebels other features clearly outway the nikon","Positive"
"this camera is one of the smallest sized dslrsfeels good in hands compared to nikon d70s etc","Neutral"
"of this camera is lower than the counterpart of other brands ie nikon d70s therefore it is not so suprise about the problems i mentions above","Neutral"
"i am a professional photographer and i own a canon 20d as well","Positive"
"of course some very real differences between the eos digital rebel xt digital camera and the more advanced eos 20d","Very Positive"
"was very impressed with the 20d but the price difference could easily give me a very good lense and the feature differences are minor so rebel xt it is i am a photography enthuiast who wishes he had the budget for a canon 1d markii but instead have the budget of a mortal and have to pay for a personal camera out of his own pocket","Very Positive"
"br i would have to say lack of spot metering does give the nikon d70 an advantage but this camera does have a center metering mode with exposure lock so it is not really a showstopper","Negative"
"eventhough i love my old digital rebel with upgraded firmware i think i want to add this to my canon collection rather than 20d","Positive"
"i highly recommend looking at olympus when it come time to buy a dslr and the e300 is def a fav of mine","Very Positive"
"i have used both the nikon d70 and canon 20d and i prefer the olympus over them both","Neutral"
"br bottom line consensus the evolt 300 is a technically sound and accomplished dslr which delivers quality photographs comparable to the nikon d70 and superior to the canon digital rebel xt","Neutral"
"br unlike the similarly priced nikon d50 and the canon xt the evolt 300 does not feel or handle like a cheap plastic toy","Negative"
"if money were no object id say buy the canon eos 20d","Negative"
"i hope olympus that you will come up with better product in evolt e500 but please make and assemble it in japan","Very Positive"
"but having batteries familiarity with the menu system and really very good experience with olympus products and service over the years i took the plunge and got the e300 and its kit lens","Very Positive"
"br these few drawbacks are not enough to keep you from saving 800900 off of the canon 20d for the same image quality","Neutral"
"the olympus won me over with some neat features on the e300 that i really liked","Very Positive"
"after using this camera and the d300 yes this one is better than the d300 and dozens of other professionals i know say the same i have converted to being a nikon girl","Positive"
"i got the d2x last august knowing full well that a replacement for the d100 which turned out to be the nikon d200 was eminent","Very Positive"
"but if youre looking for a great studio camera the d1x wont let you down and if youre just getting into dslrs the d50 d70 are great bodies to get started on","Positive"
"i now primarily use a nikon d90 which is mind blowing for its price but i would still never get rid of my d50","Neutral"
"br based on what i read about it the d50 was a good choice for me i have been exhibiting my photos on an off for years enjoy being able to switch from auto to manual mode and as an artist and nikon afficionado i decided that id be comfortable with this camera and i was not wrong","Positive"
"br the nikon d50 61mp digital slr camera with 2880mm f3356g af nikkor zoom lens camera is a pleasure to own and use","Positive"
"i happened to have an old nikon n2020 slr with a half dozen almost new in the box nikkor af lenses circa 1986every one of them work great with my d50 body","Very Positive"
"the manual is a tome but after you try and read it buy nikon d50 digital field guide paperback by david d busch which helped me a lot as i havent used an slr in a long time and need to be retrained","Very Positive"
"each and every trip in ca is wonderful and with nikon d50 it is really breath taking snaps","Positive"
"br enjoy nikon d50 if u have it","Positive"
"think of it this way the next nikon model that presently has the ability to use this old legacy of lens is the nikon d80 making it and advanced feature","Very Positive"
"br in conclusion i believe that if you buy the nikon d40 and you improved as a photographer you may feel necessary to upgrade to a more advanced body","Very Positive"
"personally the ideal starter kit is nikon d50 2g fast sd card sigma 1020mm nikon 18200 vr f3556 the nikon 50mm f18 to compensate low light conditions due to the wonderful f18 and a nikon sb600 flashlight","Very Positive"
"br like so many others looking for a good entrylevel dslr camera probably have i easily narrowed my selection down to the canon digital rebel 350 and the nikon d50","Negative"
"both my brotherinlaw and my niece are excellent photographers and i have admired their nikon digital slrs he has a d400 she has a d70 for a while now and have kept informing everyone that i wanted to get one","Very Positive"
"with the nikon d50 it is very easy to take wonderful action shots","Very Positive"
"also the 18135 that nikon sells with the d80 looks good to me but they dont make a kit with those lenses for the d50","Positive"
"nikon d50 is an absolutely fantastic camera","Positive"
"in addition to the advantages of digital the camera can hold 300 high quality photos and the use of all lenses made for the nikon slr is the very good quality of the pictures and the ease of handling in the nonauto mode","Very Positive"
"well one day while shopping at the px i am in afghanistan i noticed the nikon d50 package for 670 tax free i decided what the hay i might as well buy it i have wanted a digital slr forever all i can say is i am not disappointed moderately confused but not disappointed","Negative"
"if you want take pictures like a prof dont thik about it buy the nikon d50 and enjoy the moments","Very Positive"
"br but the nikon d50 is a superb camera","Positive"
"before i bought the nikon d50 with kit lens ive done a most extensive research in finding the best dslr at the moment","Very Positive"
"br also the nikon d50 has won the diwa gold award for excellent value for money and the diwa platinum award for the best digital camera system","Very Positive"
"a book like the nikon d50 field guide with its practice pictures is also helpful","Very Positive"
"in 02 i went digital with a small canon s30 ps that camera got me a lot of great pictures but id take out the n70 every now and then because it took so much better pictures","Neutral"
"i noticed the shutter time was much quicker then with my kodak camera plus i am able to take my quantrary lens 55300 from my nikon n65 film camera and put it on my nikon d50 and still get great pictures","Very Positive"
"i worked it down to the d50 the d70s and the canon digital rebel","Very Negative"
"i had the benefit of a friend with a d70 and was able to handle that camera extensively before my purchase","Very Positive"
"my firstdigital was a finepix 14 megapixels then a 41 and now my first digital slr nikon d50 just perfect for novice slr users looking for a nice handly camera to shoot creative photos","Positive"
"buying the nikon d50 dslr has rekindled my passion for photography","Positive"
"i purchased my nikon at best buy because i wanted a hands on with the canon rebel xt and nikon d50","Negative"
"the canon is heavy and the lenses are much larger in diameter as opposed to the nikon with the d50 its lightweight and the lenses are a petite size which will not make you feel like you are holding and extremely large unecessarily bulky camera","Neutral"
"br i highly recommend anyone who is a novice and wanting to delve into photography for a serious hobby or even for the fun of just having a great camera should consider the nikon d50","Very Positive"
"here is my review of the nikon d50 the best digital camera i ever owned","Positive"
"dont even think about going for the canon rebel xt because the nikon d50 is cheaper and is the best camera you can get for the money on the market","Positive"
"the nikon d50 is a superb digital slr camera that really can do it all","Positive"
"yes nikon deviated from its usual commitment to the cf format and the d50 uses the sd format","Very Positive"
"the rebel has more megipixels than the d50 but i like the larger and solid feel that the nikon has","Very Positive"
"br the nikon d50 works well with my mac os x and iphoto with out having to use a card reader","Very Positive"
"i recently upgraded from a panasonic lumix dmcfz20 to the nikon d50 and it was definitely worth the investment","Very Positive"
"the nikon d40 was also in the running but because i had friends and other family with this canon xt i thought i could get more help if i ran into trouble with it","Very Negative"
"tried olympus evolt e500 and the auto white balance on it was worse","Positive"
"apparently canon realized theres a problem with the eos 350ds focus system because the new eos 400d rebel xti comes with a different sensor its the same highly accurate ninepoint diamond shaped focus sensor thats found on the considerably more expensive professional grade eos 30d","Very Positive"
"a friend of mine has a canon 20d and it is a better camera but only slightly and costs 50000 more","Very Positive"
"the new canon eos digital rebel xt offers many of the same exposure features and improvements as the 10d but slightly scaled back to keep costs under control","Neutral"
"it is not as popular as ccd but the future promises us even better digicams based on cmos sensors due to the lower amount of power consumption versus the typical ccd device sensor very similar to that on the canon eos 10d as well as most of the same exposure features","Neutral"
"bought this camera after reviewing it against the nikon d50","Neutral"
"br this is a great camera for those wanting to switch to a digital slr but do not have the extra for the canon 20d or some of the other choices out there","Positive"
"my family loves nikon and during my search for a digital camera it was difficult passing over the nikon d70 but only initially","Neutral"
"i chose up this canon product for two major reasons first nikon d70 was not available at that time and second digital rebel xt lense efs1785mm is usm seemed to be better and affordable choice","Negative"
"the jpeg pictures i didnt try raw looked excellent on the sony lcd screen on par with the more expensive eos 20d dslr","Positive"
"i owned the 60 mp canon eos rebel 300d which was canons first digital slr for several years until an internal mirror latch broke and for just a little more than it would have cost to fix i purchased refurbished the next model up which is the 350d or eos rebel xt","Very Negative"
"quality is close to the more expensive eos 20d","Very Negative"
"the nikon d40 was also in the running but because i had friends and other family with this canon xt i thought i could get more help if i ran into trouble with it","Very Negative"
"tried olympus evolt e500 and the auto white balance on it was worse","Positive"
"apparently canon realized theres a problem with the eos 350ds focus system because the new eos 400d rebel xti comes with a different sensor its the same highly accurate ninepoint diamond shaped focus sensor thats found on the considerably more expensive professional grade eos 30d","Very Positive"
"a friend of mine has a canon 20d and it is a better camera but only slightly and costs 50000 more","Very Positive"
"the new canon eos digital rebel xt offers many of the same exposure features and improvements as the 10d but slightly scaled back to keep costs under control","Neutral"
"it is not as popular as ccd but the future promises us even better digicams based on cmos sensors due to the lower amount of power consumption versus the typical ccd device sensor very similar to that on the canon eos 10d as well as most of the same exposure features","Neutral"
"bought this camera after reviewing it against the nikon d50","Neutral"
"br this is a great camera for those wanting to switch to a digital slr but do not have the extra for the canon 20d or some of the other choices out there","Positive"
"my family loves nikon and during my search for a digital camera it was difficult passing over the nikon d70 but only initially","Neutral"
"i chose up this canon product for two major reasons first nikon d70 was not available at that time and second digital rebel xt lense efs1785mm is usm seemed to be better and affordable choice","Negative"
"the jpeg pictures i didnt try raw looked excellent on the sony lcd screen on par with the more expensive eos 20d dslr","Positive"
"when i was unwilling to pay the price i took a serious look at the olympus e300","Negative"
"i was always very happy and satisfied with quality and reliability of olympus products thats why i am still in schock that e300 evolt was such a disappointment","Very Positive"
"i have by nature been very weary of the digital slrs even though i sell tons of them every week i have used the canon xt and 20d and the nikon d70 consistantly","Very Negative"
"as i said i am a professional photographer and i sell cameras and aside from some bells and whistles speed youll never use the e300 is everybit as good a digital slr camera as its canon and nikon counterparts more so in some waysthe biggest being price","Neutral"
