"Words","count"
"build",2
"canon",58
"collection",4
"later",2
"lens",19
"might",4
"nice",3
"sexier",2
"upgrade",3
"way",6
"almost",7
"camera",78
"case",2
"different",4
"else",2
"even",8
"ever",7
"just",10
"justify",2
"matter",3
"money",5
"need",7
"needs",2
"nikon",134
"purchasing",2
"really",17
"something",4
"though",7
"upgrating",2
"waste",2
"xti",6
"blow",2
"can",15
"detail",6
"didnt",4
"huge",4
"loss",2
"much",11
"pictures",11
"poster",2
"pretty",3
"see",9
"size",3
"cameras",14
"digital",49
"elan",2
"eos",30
"include",2
"now",9
"rebel",29
"alot",2
"announced",4
"better",19
"right",3
"thanks",2
"came",2
"catergories",2
"clearly",2
"exception",2
"features",12
"outway",2
"price",12
"rebels",2
"time",12
"top",2
"compared",3
"dslrsfeels",2
"etc",7
"good",12
"hands",3
"one",16
"sized",2
"smallest",2
"brands",2
"counterpart",2
"lower",4
"mentions",2
"problems",2
"suprise",2
"therefore",2
"photographer",10
"professional",9
"well",11
"advanced",7
"course",2
"differences",5
"real",2
"budget",4
"difference",2
"easily",4
"enthuiast",2
"feature",3
"give",5
"impressed",4
"instead",5
"lense",6
"markii",2
"minor",4
"mortal",2
"pay",3
"personal",2
"photography",8
"pocket",4
"wishes",2
"advantage",2
"center",2
"exposure",9
"lack",4
"lock",2
"metering",4
"mode",5
"say",7
"showstopper",2
"spot",2
"add",2
"eventhough",2
"firmware",2
"love",4
"old",4
"rather",2
"think",7
"upgraded",3
"want",5
"body",7
"cheapest",1
"decide",1
"decision",1
"easiest",1
"equivalent",1
"feels",1
"less",4
"likely",1
"make",9
"part",1
"pick",2
"purchase",3
"store",1
"youre",3
"get",16
"light",2
"lot",6
"low",2
"nowsept",1
"photos",4
"taking",5
"buy",18
"cheaper",2
"doesnt",3
"xsi",1
"best",8
"separate",1
"yet",1
"come",3
"def",1
"dslr",12
"fav",1
"highly",5
"looking",6
"mine",3
"olympus",10
"recommend",3
"prefer",1
"used",4
"accomplished",1
"bottom",1
"comparable",1
"consensus",1
"delivers",1
"evolt",7
"line",1
"photographs",1
"quality",11
"sound",1
"superior",1
"technically",3
"cheap",4
"feel",7
"handle",2
"like",17
"plastic",1
"priced",1
"similarly",1
"toy",1
"unlike",3
"object",1
"assemble",1
"hope",1
"japan",2
"please",1
"product",3
"will",8
"batteries",1
"experience",1
"familiarity",1
"got",3
"kit",5
"menu",1
"plunge",1
"products",2
"service",1
"system",4
"took",3
"years",5
"drawbacks",1
"enough",1
"image",3
"keep",3
"saving",1
"liked",1
"neat",1
"won",2
"converted",1
"dozens",1
"girl",1
"know",3
"professionals",1
"using",2
"yes",2
"august",1
"eminent",1
"full",3
"knowing",1
"last",1
"replacement",1
"turned",1
"bodies",1
"dslrs",1
"getting",5
"great",13
"let",1
"started",1
"studio",1
"wont",2
"blowing",1
"mind",3
"never",4
"primarily",1
"rid",1
"still",5
"use",12
"able",7
"afficionado",1
"artist",1
"auto",8
"based",3
"choice",3
"comfortable",1
"decided",7
"enjoy",3
"exhibiting",1
"manual",4
"read",3
"switch",3
"wrong",2
"nikkor",2
"pleasure",1
"slr",17
"zoom",1
"box",1
"circa",1
"dozen",1
"every",4
"half",1
"happened",1
"lenses",17
"new",8
"work",1
"busch",1
"david",1
"field",4
"guide",2
"havent",2
"helped",1
"long",6
"paperback",1
"retrained",1
"tome",1
"try",5
"breath",1
"snaps",1
"trip",2
"wonderful",3
"ability",1
"legacy",1
"making",1
"model",2
"next",4
"presently",1
"believe",1
"conclusion",3
"improved",3
"may",2
"necessary",3
"card",5
"compensate",1
"conditions",1
"due",3
"fast",1
"flashlight",1
"ideal",1
"personally",1
"sigma",3
"starter",1
"entrylevel",3
"many",5
"narrowed",1
"others",1
"probably",2
"selection",1
"admired",1
"brotherinlaw",1
"everyone",1
"excellent",4
"informing",1
"kept",1
"niece",1
"photographers",2
"slrs",2
"wanted",6
"action",1
"easy",3
"shots",1
"take",8
"also",10
"dont",6
"looks",1
"sells",1
"absolutely",1
"fantastic",1
"addition",1
"advantages",1
"ease",1
"handling",1
"high",4
"hold",1
"made",2
"nonauto",1
"afghanistan",1
"confused",1
"day",1
"disappointed",4
"forever",1
"free",1
"hay",1
"moderately",1
"noticed",2
